key,zh-CN-zai,zh-CN-gl,zh-TW,en-US,ko-KR,ja-JP,th-TH,id-ID,ru-RU,it-IT,pt-BR,es-ES,vi-VN,fr-FR,tr-TR
Rule_Desc_1_2,变身成各种物品躲藏起来，也可使用隐身道具进行逃跑哦！,变身成各种物品躲藏起来，也可使用隐身道具进行逃跑哦！,變身為物件隱身或使用隱身技能躲避追捕者。,Transform into a prop to hide or use the stealth skill to avoid the hunter.,"사물로 변신해 숨거나, 은신 스킬을 사용해 술래를 피할 수 있어요.",物に変身して隠れたり、隠れスキルを使って鬼を避けることができます。,แปลงร่างเป็นสิ่งของเพื่อซ่อนตัวหรือใช้สกิลพรางตัวเพื่อหลบฮันเตอร์,Berubah menjadi benda atau sembunyi menggunakan skill menghilang untuk menghindari pemburu.,"Преображайтесь в предметы, чтобы прятаться, или используйте навык скрытности, чтобы не попасться охотнику.",Trasformati in un oggetto per nasconderti o utilizza l'abilità furtiva per evitare i giocatori cercatori.,Transforme-se em um objeto para se esconder do caçador.,Transfórmate en objeto para ocultarte o utiliza la habilidad furtiva para eludir al cazador.,Biến thành đồ vật để trốn hoặc dùng kĩ năng ẩn mình để tránh thợ săn.,Transformez-vous en accessoire pour vous cacher ou utilisez la compétence furtivité pour éviter le chasseur.,Saklanmak için bir nesneye dönüş veya Arayıcı'dan kaçmak için gizlilik becerisini kullan.
Rule_Desc_2_1,寻找者使用手电筒，利用光柱扫描躲藏者，对其造成伤害！,寻找者使用手电筒，利用光柱扫描躲藏者，对其造成伤害！,追捕者隊請用手電筒照看物件降低能量。當耗盡所有能量，將能找出隱藏在物件裡的匿藏者。,The Hunter Team will shine the flashlight on props to deplete their energy. Depleting all their energy will reveal the hidden Prop Team.,술래팀은 손전등으로 사물을 비춰 에너지를 깎아요. 모든 에너지를 깎으면 숨어있던 사물팀을 찾을 수 있어요.,鬼チームは懐中電灯で物を照らしてパワーを減らします。 すべてのパワーを減らすことで隠れていた物チームを見つけることができます。,ทีมฮันเตอร์จะส่องไฟฉายไปยังสิ่งของเพื่อลดเอเนอจี้ เมื่อเอเนอจี้ลดลงจนหมด จะเจอทีมพร็อบที่ซ่อนตัวอยู่,Tim Pemburu akan menyorot senter pada benda untuk menguras energinya. Menguras energi akan mengungkap Tim Benda yang bersembunyi.,"Команда охотников будет светить фонариком на предметы, чтобы лишать их энергии. Если поглотить всю энергию предметов, команда прячущихся предметов будет раскрыта.",I giocatori cercatori punteranno la luce della torcia sugli oggetti per esaurire la loro energia e rivelare la posizione tutti i giocatori nascosti.,"A Equipe Caçadora apontará a luz da lanterna nos objetos para esgotar a energia deles. Se toda a energia for esgotada, a Equipe Objeto será revelada.","El equipo Cazador alumbrará los objetos con la linterna para quitarles la energía. Al hacerlo, el equipo Objeto quedará al descubierto.",Đội Thợ Săn sẽ chiếu đèn pin vào đồ vật để làm giảm năng lượng của chúng. Làm giảm tất cả năng lượng của chúng để tìm ra Đội Con Mồi đang trốn.,"L'équipe des chasseurs braquera la lampe de poche sur les accessoires pour épuiser leur énergie. De cette façon, ils découvriront qui sont ceux qui se sont transformés en accessoires pour se cacher.","Arayıcı Takım, Gizlenme Takımı'nın enerjisini tüketmek için el fenerini nesnelerin üzerine tutacaktır. Tüm enerjilerini tüketmek saklanan Gizlenme Takımı'nı ortaya çıkaracaktır."
Rule_Desc_2_2,躲藏者使用隐身道具，短暂时间可以躲避寻找者！,躲藏者使用隐身道具，短暂时间可以躲避寻找者！,匿藏者隊可變身為物件隱身或使用隱身技能躲避追捕者。,The Prop Team can transform into a prop or use the stealth skill to avoid the hunter.,"사물팀은 사물로 변신해 숨거나, 은신 스킬을 사용해 술래를 피할 수 있어요.",物チームは物に変身して隠れたり、隠れスキルを使って鬼を避けることができます。,ทีมพร็อบสามารถแปลงร่างเป็นสิ่งของหรือใช้สกิลพรางตัวเพื่อหลบเลี่ยงฮันเตอร์ได้,Tim Benda bisa berubah menjadi benda atau menggunakan skill menghilang untuk menghindari pemburu.,"Команда предметов может преображаться в предметы, чтобы прятаться, или использовать навык скрытности, чтобы не попасться охотнику.",I giocatori nascosti possono trasformarsi in un oggetto o utilizzare l’abilità furtiva per evitare i cercatori.,A Equipe Objeto pode se transformar em um objeto ou usar a habilidade de furtiva para fugir o caçador.,El equipo Objeto puede transformarse en objetos o utilizar la habilidad furtiva para eludir al cazador.,Đội Con Mồi có thể biến thành đồ vật hoặc dùng kĩ năng ẩn mình để tránh đội thợ săn.,L'équipe d'accessoires peut se transformer en accessoire ou utiliser la compétence furtivité pour éviter le chasseur.,Gizlenme Takımı bir nesneye dönüşebilir veya Arayıcı'dan kaçınmak için gizlilik becerisini kullanabilir.
Rule_Desc_2_3,躲藏者可以使用镜头锁定功能，获得更好的视野！,躲藏者可以使用镜头锁定功能，获得更好的视野！,變身為物件後，如果屬於鎖定狀態，可獲得更廣的視野。,"After transforming into a prop, enter the locked state to secure a wider view","사물로 변신한 후, 잠금 상태가 되면 더 넓은 시야를 확보할 수 있어요.",物に変身した後、ロック状態になるとより広い視野を確保できます。,เมื่อแปลงร่างเป็นพร็อบและเข้าสู่สถานะล็อกแล้ว จะได้เห็นมุมมองที่กว้างขึ้น,"Setelah berubah menjadi benda, masuki kondisi terkunci untuk mengaktifkan penglihatan luas.","Превратившись в предмет, войдите в заблокированное состояние, чтобы получить более широкий угол обзора.","A trasformazione avvenuta, passa allo stato bloccato per avere una visione più ampia","Após transformar-se em um objeto, ative o bloqueio de ações para uma visualização mais ampla","Después de transformarte en un objeto, accede al modo bloqueado para asegurarte una visión más amplia.","Sau khi biến thành đồ vật, bước vào trạng thái bị khóa để có được tầm nhìn rộng hơn","Après s'être transformé en accessoire, entrez dans l'état verrouillé pour obtenir une vue plus large.","Bir nesneye dönüştükten sonra, daha geniş bir görüş elde etmek için kilitli durumuna gir"
Rule_Desc_2_4,寻找者使用雷达扫描，短时间内可以检测到躲藏者！,寻找者使用雷达扫描，短时间内可以检测到躲藏者！,尋找者使用雷達掃描，短時間內可以檢測到躲藏者！,The seeker uses radar scanning to detect the seeker in a short period of time!,스캔 스킬로 주변 사물을 스캔할수 있어요. 잘 활용해 보세요.,探索者はレーダースキャンを使用して短時間で隠れ家を検出することができます!,การค้นหาโดยใช้เรดาร์สามารถตรวจจับบุคคลที่ซ่อนอยู่ได้ในระยะเวลาอันสั้น!,Pencari bisa mendeteksi orang yang bersembunyi dalam waktu singkat dengan melakukan scan menggunakan radar!,"Те, кто ищет, могут использовать радар для сканирования, чтобы обнаружить людей, которые скрываются в течение короткого времени!","Se siete un cacciatore, usando il radar, potete rilevare in breve tempo qualcuno che si nasconde!",O seeker usa a varredura de radar e pode detectar escondidos por um curto período de tempo!,¡El buscador utiliza el escaneo de radar y en poco tiempo puede detectar a los escondidos!,Người tìm kiếm sử dụng máy quét radar để phát hiện kẻ trốn trong một thời gian ngắn!,Searchers utilise le balayage radar et peut détecter les personnes cachées pendant une courte période!,Searchker radar taraması kullanır ve HID kısa sürede algılanabilir!
Hide_change_title,选择变身,选择变身,請選擇將要變身的物件,Select a prop to transform into,변신할 사물 선택,変身する物を選択,เลือกพร็อบที่จะแปลงร่าง,Pilih benda untuk ditiru,"Выберите предмет, в который вы хотите превратиться",Seleziona l’oggetto in cui desideri trasformarti,Selecione um objeto para se transformar,Selecciona un objeto en el que transformarte,Chọn 1 đồ vật để biến hình,Sélectionnez un accessoire pour vous transformer en lui,Dönüşeceğin nesneyi seç
Hide_reselection,重选,重选,重新選擇,Reselect,다시 선택,もう一度選ぶ,เลือกอีกครั้ง,Pilih ulang,Выбрать повторно,Seleziona di nuovo,Selecionar novamente,Reseleccionar,Chọn Lại,Re-sélectionnez,Yeniden Seç
Hide_button_lock,物品锁定,物品锁定,鎖定,Locked,잠금,ロック,ล็อก,Terkunci,Заблокировано,Stato bloccato,Bloquear,Bloqueado,Bị Khóa,Verrouillé,Kilitli
Hide_button_unlock,物品解锁,物品解锁,解鎖,Unlock,잠금 해제,ロック解除,ปลดล็อก,Buka,Разблокировать,Stato sbloccato,Desbloquear,Desbloquear,Gỡ Khóa,Déverrouiller,Kilidi aç
Hide_sight_button_3,自由视角,自由视角,預覽,Preview,프리뷰,プレビュー,พรีวิว,Pratinjau,Предварительный просмотр,Anteprima,Visualizar,Vista previa,Xem Trước,Aperçu,Önizleme
Hide_sight_button_4,退出自由视角,退出自由视角,預覽結束,End Preview,프리뷰 종료,プレビュー終了,จบพรีวิว,Akhiri Pratinjau,Выйти из режима предварительного просмотра,Termina anteprima,Encerrar visualização,Finalizar vista previa,Kết Thúc Xem Trước,Fin de l'aperçu,Önizlemeyi sonlandır
Watch_game_1,观战中,观战中,旁觀者模式,Spectator Mode,관전 모드,視聴モード,โหมดผู้ชม,Mode Spektator,Режим наблюдателя,Modalità spettatore,Modo espectador,Modo Espectador,Chế Độ Người Xem,Mode spectateur,İzleyici Modu
Ending_title_1,躲藏者胜利,躲藏者胜利,匿藏者隊獲得勝利,Prop Team Won,사물팀 승리,物チームの勝利,ทีมพร็อบชนะ,Tim Benda Menang,Команда предметов победила,Il team dei giocatori nascosti ha vinto,Vitória da Equipe Objeto,Ganó el equipo Objeto,Đội Con Mồi Thắng,L'équipe des accessoires a gagné,Gizlenme Takımı Kazandı
Ending_title_2,寻找者胜利,寻找者胜利,追捕者隊獲得勝利,Hunter Team Won,술래팀 승리,鬼チームの勝利,ทีมฮันเตอร์ชนะ,Tim Pemburu Menang,Команда охотников победила,Il team dei giocatori cercatori ha vinto,Vitória da Equipe Caçadora,Ganó el equipo Cazador,Đội Thợ Săn Thắng,L'équipe des chasseurs a gagné,Arayıcı Takımı Kazandı
Ending_content_1,最佳躲藏者,最佳躲藏者,匿藏者隊最佳玩家,Prop Team's play of the game,사물팀 최고의 플레이어,物チームのベストプレイヤー,ผู้เล่นยอดเยี่ยมของทีมพร็อบ,MVP Tim Benda,Лучший игрок команды предметов,Miglior giocatore del team dei nascosti,Melhor jogador da Equipe Objeto,Mejor jugador/a del equipo Objeto,Người chơi giỏi nhất của Đội Con Mồi,Moment clé de la partie de l'équipe des accessoires,Gizlenme Takımı'nın oyun performansı
Ending_content_2,最佳寻找者,最佳寻找者,追捕者隊最佳玩家,Hunter Team's play of the game,술래팀 최고의 플레이어,鬼チームのベストプレイヤー,ผู้เล่นยอดเยี่ยมของทีมฮันเตอร์,MVP Tim Pemburu,Лучший игрок команды охотников,Miglior giocatore del team dei cercatori,Melhor jogador da Equipe Caçadora,Mejor jugador/a del equipo Cazador,Người chơi giỏi nhất của Đội Thợ Săn,Moment clé de la partie de l'équipe des chasseurs,Arayıcı Takımı'nın oyun performansı
